title,abstract,doi
"Frequency‐Domain Acoustic‐Wave Modeling And Inversion Of Crosshole Data: Part Ii—Inversion Method, Synthetic Experiments And Real‐Data Results","In full‐wave inversion of seismic data in complex media it is desirable to use finite differences or finite elements for the forward modeling, but such methods are still prohibitively expensive when implemented in 3-D. Full‐wave 2-D inversion schemes are of limited utility even in 2-D media because they do not model 3-D dynamics correctly. Many seismic experiments effectively assume that the geology varies in two dimensions only but generate 3-D (point source) wavefields; that is, they are ""two‐and‐one‐half‐dimensional"" (2.5-D), and this configuration can be exploited to model 3-D propagation efficiently in such media. We propose a frequency domain full‐wave inversion algorithm which uses a 2.5-D finite difference forward modeling method. The calculated seismogram can be compared directly with real data, which allows the inversion to be iterated. We use a descents‐related method to minimize a least‐squares measure of the wavefield mismatch at the receivers. The acute nonlinearity caused by phase‐wrapping, which corresponds to time‐domain cycle‐skipping, is avoided by the strategy of either starting the inversion using a low frequency component of the data or constructing a starting model using traveltime tomography. The inversion proceeds by stages at successively higher frequencies across the observed bandwidth. The frequency domain is particularly efficient for crosshole configurations and also allows easy incorporation of attenuation, via complex velocities, in both forward modeling and inversion. This also requires the introduction of complex source amplitudes into the inversion as additional unknowns. Synthetic studies show that the iterative scheme enables us to achieve the theoretical maximum resolution for the velocity reconstruction and that strongly attenuative zones can be recovered with reasonable accuracy. Preliminary results from the application of the method to a real data set are also encouraging.",10.1190/1.1443818
The Effect Of Systematic Diagenetic Changes On The Mechanical Behavior Of A Quartz-Cemented Sandstone,"A key goal of petrophysical studies of sandstones is to relate common field measurements, particularly seismic or sonic velocities, to parameters defining the rock's mechanical and hydrologic characteristics. These include elastic and inelastic mechanical properties, porosity, and permeability. We explored relationships among these properties in variably quartz-cemented, mature arenites of the St. Peter Sandstone with porosities ranging from 9% to 25%. In a previous paper, we described microstructural changes accompanying progressive quartz cementation and related porosity and permeability reduction in this sample suite. Here, we report ultrasonic velocities ultrasonic velocities, dynamic and static elastic properties, confined compressive strength, and tensile strength. Analyses of these data demonstrated that factors controlling permeability also fundamentally determined the elastic and inelastic mechanical properties. We found that the number of grain contacts, or bonds, per number of grains viewed in the thin section (bond-to-grain ratio [BGR]) was a key predictive parameter of the mechanical and hydrologic properties. Although the contact length and number of contacts correlated well with the mechanical behavior, statistical analyses showed that BGR was a better predictor of strength, elastic stiffness, and fluid transport properties than was the contact length. The BGR provided a measure of the pore throat occlusion that reduced permeability and the connectivity of the grain framework that stiffened and strengthened the rock. Because porosity and BGR were typically well correlated, porosity was a more quickly and easily measured proxy for BGR in this case. However, our analysis showed that it was the microstructural changes associated with porosity loss rather than porosity loss per se that largely controlled the properties of interest. Thus, consideration of BGR as well as the relative strengths of grains and bond type (cement, pressure solution) for different compositions of sandstone and cement may constructively form the basis for comparative studies of other more complex sandstones.",10.1190/geo2014-0026.1
Temperature Dependence Of The Electrical Resistivity Of Water‐Saturated Rocks,"The electrical resistivities of several dacitic tuffs, sandstone, andesite, granite, and crystalline limestone samples, saturated with a 0.001 M aqueous solution of KC𝓁;, were measured in the range from room temperature to 250°C. The experiments were made using a cell technique with platinum electrodes. Of particular interest are the data collected at temperatures above 200°C under high pressure, a region scarcely documented in the literature. Basically the samples used in the present study show a quasi‐exponential decrease of resistivity with temperature up to 200°C. The same temperature dependence is found for the resistivity of the saturating solution, thus confirming that conduction in water‐saturated rocks is essentially electrolytic. At temperatures above 200°C, some specimens of highly porous dacitic tuff still closely follow the saturating solution in the pattern of resistivity variation with temperature, exhibiting a minimum around 220°C; however, the behavior of low‐porosity crystalline rocks (notably granite) where a relatively abrupt decrease of resistivity is observed above 50°C, departs from that of the saturating solution. Hysteresis phenomena are more or less observed in most rock samples; i.e., the resistivity after one complete thermal cycle is systematically lower than its initial value. This experimental evidence points out that mechanisms different from water characteristics, such as growth of microcracks or chemical reactions, contribute to electrical conduction at high temperature. We point out the electrical signature of the thermally induced growth of microcracks (thermal cracking) in welded tuff and granite and suggest the possibility of using electrical measurements to monitor an extension of reservoir fractures in hot dry rock.",10.1190/1.1442869
Seismoelectromagnetic Homogeneous Space Green'S Functions,"We have developed explicit expressions and the corresponding computer code for all homogeneous space Green's functions for coupled electromagnetic fields and poroelastic waves. The Green's functions are derived from the basic equations in closed form in the wavenumber- and space-frequency domains. They are given for point sources of any type. This adds several Green's functions to what has been published before. These Green's functions can be used in integral equation formulations, for numerical model validation, and for studying earthquake-related electrokinetic effects. The wavenumber domain code for all Green's functions is given with the numerical test on the basic equations to demonstrate correctness. The numerical codes to compute them in the space-frequency domain are also given. A numerical inverse fast Fourier transformation routine is used to provide space-time domain results. At seismic frequencies, the fast P-wave is radiated with the largest amplitude in all fields, except for the magnetic fields where no P-waves are generated. At ultrasonic frequencies and in the particle and filtration velocity fields generated by an electric current source, the slow P-wave has the strongest amplitude. In the filtration velocity and particle velocity, the slow P-wave is, respectively, three orders and one order of magnitude stronger than the fast P-wave.",10.1190/geo2015-0337.1
Frequency‐Dependent Q‐Estimation Of Love‐Type Channel Waves And The Application Of Q‐Correction To Seismograms,"We present the absorption dispersion relation of Love‐type channel waves for a simple, symmetric, homogenous, three‐layered, linear elastic model assuming that the quality factors of coal (Qs1) and country rock (Qs2) are constant. We introduce complex propagation functions into the known dispersion relation describing most of the properties of the Love‐ type channel waves. The complex dispersion relation is expanded into power series of Qs2-1, Qs2-1, and Qα-1 (Qα‐quality factor of the Love‐type channel wave). The real part of the ensuing dispersion relation gives the usual dispersion relation. The imaginary part yields the frequency relation between the quality factor of Love‐type channel waves and the constant quality factors of coal and rock. In this case, Qα depends on the frequency because the phase velocity is a function of frequency. Therefore, the attenuation coefficient is a nonlinear function of frequency. The analysis of the analytical result shows that at high frequencies the Love‐type channel wave energy is completely propagating inside the coal seam, and hence its propagation is determined by the physical properties of the coal alone. As the frequency approaches zero, the Love‐type channel wave energy is completely propagating in the rock, since the thickness of the coal is small compared to the wavelength of the channel wave, and hence the channel wave does not ""see"" the coal seam. The spectral ratio method is used to estimate the frequency‐dependent quality factor Qα of Love‐type channel waves. This technique is demonstrated by applying it first to synthetic data and then to data of a well‐designed transmission survey. Finally, we use the estimated Qα to derive an inverse Q‐operator and apply it for Q‐correction to both data sets.",10.1190/1.1443911
Three‐Dimensional Filtering With An Array Of Seismometers,"The development of the Wiener linear least‐mean‐square‐error processing theory for seismic signal enhancement through use of a two‐dimensional array of seismometers leads to the theory of three‐dimensional filtering. The array processing system for this theory consists of applying individual frequency filters to the outputs of the seismometers in the array before summation. The basic design equations for the optimum frequency filters are derived from the Wiener multichannel theory. However, the development of the three‐dimensional frequency and vector‐wave‐number‐filtering theory results in a physical understanding of generalized linear array processing. The three‐dimensional filtering theory is illuminated by a theoretical problem of P‐wave enhancement in the presence of ambient seismic noise. An analysis of the results shows why optimum three‐dimensional filtering gives greater signal‐to‐noise ratio improvements than achieved by conventional array processing techniques.",10.1190/1.1439406
Reservoir Property Prediction Using Abductive Networks,"Statistical methods, such as linear regression and neural networks, are commonly used to predict reservoir properties from seismic attributes. However, a huge number of attributes can be extracted from seismic data and an efficient method for selecting an attribute subset with the highest correlation to the property being predicted is essential. Most statistical methods, however, lack an optimized approach for this attribute selection. We propose to predict reservoir properties from seismic attributes using abductive networks, which use iterated polynomial regression to derive high-degree polynomial predictors. The abductive networks simultaneously select the most relevant attributes and construct an optimal nonlinear predictor. We applied the approach to predict porosity from seismic data of an area within the 'Uthmaniyah portion of the Ghawar oil field, Saudi Arabia. The data consisted of normal seismic amplitude, acoustic impedance, 16 other seismic attributes, and porosity logs from seven wells located in the study area. Out of 27 attributes, the abductive network selected only the best two to six attributes and produced a more accurate and robust porosity prediction than using the more common neural-network predictors. In addition, the proposed method requires no effort in choosing the attribute subset or tweaking their parameters.",10.1190/1.3298443
"Occam'S Inversion To Generate Smooth, Two‐Dimensional Models From Magnetotelluric Data","Magnetotelluric (MT) data are inverted for smooth 2-D models using an extension of the existing 1-D algorithm, Occam's inversion. Since an MT data set consists of a finite number of imprecise data, an infinity of solutions to the inverse problem exists. Fitting field or synthetic electromagnetic data as closely as possible results in theoretical models with a maximum amount of roughness, or structure. However, by relaxing the misfit criterion only a small amount, models which are maximally smooth may be generated. Smooth models are less likely to result in overinterpretation of the data and reflect the true resolving power of the MT method. The models are composed of a large number of rectangular prisms, each having a constant conductivity. Apriori information, in the form of boundary locations only or both boundary locations and conductivity, may be included, providing a powerful tool for improving the resolving power of the data. Joint inversion of TE and TM synthetic data generated from known models allows comparison of smooth models with the true structure. In most cases, smoothed versions of the true structure may be recovered in 12–16 iterations. However, resistive features with a size comparable to depth of burial are poorly resolved. Real MT data present problems of non‐Gaussian data errors, the breakdown of the two‐dimensionality assumption and the large number of data in broadband soundings; nevertheless, real data can be inverted using the algorithm.",10.1190/1.1442813
The Microlog Continuous Dipmeter,"Some of the methods used at the present time for determining the angle and the azimuth of the dip in the formations traversed by a borehole are based on correlations between three curves recording certain electrical characteristics of the formations, such as SP or resistivity, along the wall of the borehole in three equally spaced azimuths. With the conventional equipment used for the application of these methods, the measurements are made over separate intervals of depth. In the present paper, a new improved instrument called the MicroLog Continuous Dipmeter is described, wherein the three curves used for the determination of the dip are obtained with three MicroLog devices and wherein these three curves—as well as the orientation of the instrument and the inclination of the borehole—are simultaneously and continuously recorded. It is shown that with the help of this instrument more numerous dip determinations can be made in a given well with a higher accuracy and a greater recording speed. The paper is illustrated with field examples.",10.1190/1.1437947
The Effect Of Confining Pressure On Elastic Wave Velocities And Dynamic To Static Young'S Modulus Ratio,"We carried out laboratory experiments under dry conditions on limestone core specimens of Sarvak formation obtained from an oil well in the southwest of Iran. Our objective was to study the effect of confining pressure on the compressional and shear wave velocities (VP, VS), and on the dynamic to static Young's modulus ratio (Ed/Es). Furthermore, we made attempts to predict VP and VS at atmospheric pressure based on the same velocities at various confining pressures. These analyses revealed that, below a critical pressure with an increase in confinement VP and VS increased exponentially, representing a poroelastic regime. Above a critical pressure, however, the trend was linear. Likewise, we observed that with an increase in confinement, Ed/Es initially decreased exponentially, followed by a linear decreasing trend above the critical pressure. This indicated that Es is more responsive than Ed. Accordingly, these observations infer that it is possible to predict Es based on Ed at different confining stresses. This is an important improvement for geomechanical modeling of hydrocarbon and geothermal reservoirs because static parameters are more realistic input parameters. Besides, we derived the coefficients of the velocity-pressure equation for Sarvak limestone using least square regression analysis. More interestingly, we predicted VP and VS at atmospheric pressure based on these coefficients. Good agreement was observed between measured and predicted velocities at atmospheric pressure. Analysis of similar published experiments on oceanic basalts strongly confirmed these observations.",10.1190/geo2012-0279.1
"Linking Preferred Orientations To Elastic Anisotropy In Muderong Shale, Australia","The significance of shales for unconventional hydrocarbon reservoirs, nuclear waste repositories, and geologic carbon storage has opened new research frontiers in geophysics. Among many of its unique physical properties, elastic anisotropy had long been investigated by experimental and computational approaches. Here, we calculated elastic properties of Cretaceous Muderong Shale from Australia with a self-consistent averaging method based on microstructural information. The volume fraction and crystallographic preferred orientation distributions of constituent minerals were based on synchrotron x-ray diffraction experiments. Aspect ratios of minerals and pores, determined from scanning electron microscopy, were introduced in the self-consistent averaging. Our analysis suggested that phyllosilicates (i.e., illite-mica, illite-smectite, kaolinite, and chlorite) were dominant with ∼70  vol.%. The shape of clay platelets displayed an average aspect ratio of 0.05. These platelets were aligned parallel to the bedding plane with a high degree of preferred orientation. The estimated porosity at ambient pressure was ∼17  vol.% and was divided into equiaxial pores and flat pores with an average aspect ratio of 0.01. Our model gave results that compared satisfactorily with values derived from ultrasonic velocity measurements, confirming the validity and reliability of our approximations and averaging approach.",10.1190/geo2014-0236.1
Full-Azimuth Subsurface Angle Domain Wavefield Decomposition And Imaging Part I: Directional And Reflection Image Gathers,"We present a new subsurface angle-domain seismic imaging system for generating and extracting high-resolution information about subsurface angle-dependent reflectivity. The system enables geophysicists to use all recorded seismic data in a continuous fashion directly in the subsurface local angle domain (LAD), resulting in two complementary, full-azimuth, common-image-angle gather systems: directional and reflection. The complete set of information from both types of angle gathers leads to accurate, high-resolution, reliable velocity model determination and reservoir characterization. The directional angle decomposition enables the implementation of specular and diffraction imaging in real 3D isotropic/anisotropic geological models, leading to simultaneous emphasis on continuous structural surfaces and discontinuous objects such as faults and small-scale fractures. Structural attributes at each subsurface point, e.g., dip, azimuth and continuity, can be derived directly from the directional anglegathers. The reflection-angle gathers display reflectivity as a function of the opening angle and opening azimuth. These gathers are most meaningful in the vicinity of actual local reflecting surfaces, where the reflection angles are measured with respect to the derived background specular direction. The reflection-angle gathers are used for automatic picking of full-azimuth angle-domain residual moveouts (RMO) which, together with the derived background orientations of the subsurface reflection horizons, provide a complete set of input data to isotropic/anisotropic tomography. The full-azimuth, angle-dependent amplitude variations are used for reliable and accurate amplitude versus angle and azimuth (AVAZ) analysis and reservoir characterization. The proposed system is most effective for imaging and analysis below complex structures, such as subsalt and subbasalt, high-velocity carbonate rocks, shallow low-velocity gas pockets, and others. In addition, it enables accurate azimuthal anisotropic imaging and analysis, providing optimal solutions for fracture detection and reservoir characterization.",10.1190/1.3511352
Large-Scale 3D Geoelectromagnetic Modeling Using Parallel Adaptive High-Order Finite Element Method,"We have investigated the use of the adaptive high-order finite-element method (FEM) for geoelectromagnetic modeling. Because high-order FEM is challenging from the numerical and computational points of view, most published finite-element studies in geoelectromagnetics use the lowest order formulation. Solution of the resulting large system of linear equations poses the main practical challenge. We have developed a fully parallel and distributed robust and scalable linear solver based on the optimal block-diagonal and auxiliary space preconditioners. The solver was found to be efficient for high finite element orders, unstructured and nonconforming locally refined meshes, a wide range of frequencies, large conductivity contrasts, and number of degrees of freedom (DoFs). Furthermore, the presented linear solver is in essence algebraic; i.e., it acts on the matrix-vector level and thus requires no information about the discretization, boundary conditions, or physical source used, making it readily efficient for a wide range of electromagnetic modeling problems. To get accurate solutions at reduced computational cost, we have also implemented goal-oriented adaptive mesh refinement. The numerical tests indicated that if highly accurate modeling results were required, the high-order FEM in combination with the goal-oriented local mesh refinement required less computational time and DoFs than the lowest order adaptive FEM.",10.1190/geo2015-0013.1
"High-Resolution Seismic Tracing Of The Transgression Across The Coastal Interface, Brigantine, New Jersey","We have repurposed high-resolution marine seismic profiles and vibracores collected from 1 to 10 km offshore Brigantine, New Jersey, to locate, characterize, and interpret the Holocene transgression across the land/sea interface. This storm-dominated, low-slope shelf had experienced large eustatic shifts during the late Pleistocene and Holocene, causing significant lowstand erosion during marine isotope stages (MIS) 6, 4, and 2, leaving fragmented sediment packages from the intervening highstands, which were further eroded by Holocene transgressive wave energy and submarine currents. Using sediment ages tied to seismic reflectors, we mapped the offshore surficial geology of the late Pleistocene and Holocene for the first time in this region. We tied the offshore geology to contiguous onshore surficial geology using borehole geophysical gamma logs, cores, and dated material from barrier-island, estuary, and salt-marsh environments, leading to several new findings, specifically (1) that a back-barrier marsh existed approximately 16 m below the present-day sea level and 7 km seaward of Little Egg Inlet 7960±210 (calibrated) before the present (AD 1950), (2) that shoal features were massed in a sediment prism south and west of Little Egg Inlet, and (3) as the Holocene sea level rose, Little Egg Inlet varied little from its current location, fixed in place by the incised valley of the paleo Mullica River, a major upland drainage system since at least MIS 6.",10.1190/geo2014-0101.1
Finite‐Difference Modeling Of Faults And Fractures,"For the purposes of seismic propagation, a slip fault may be regarded as a surface across which the displacement caused by a seismic wave is discontinuous while the stress traction remains continuous. The simplest assumption is that this slip and the stress traction are linearly related. Such a linear slip interface condition is easily modeled when the fault is parallel to the finite‐difference grid, but is more difficult to do for arbitrary nonplanar fault surfaces. To handle such situations we introduce equivalent medium theory to model material behavior in the cells of the finite‐ difference grid intersected by the fault. Virtually identical results were obtained from modeling the fault by (1) an explicit slip interface condition (fault parallel to the grid) and (2) using the equivalent medium theory when the finite‐difference grid was rotated relative to the fault and receiver array. No additional computation time is needed except for the preprocessing required to find the relevant cells and their associated moduli. The formulation is sufficiently general to include faults in and between arbitrary anisotropic materials with slip properties that vary as a function of position.",10.1190/1.1443884
3-D Avo Analysis And Modeling Applied To Fracture Detection In Coalbed Methane Reservoirs,"Over the years, amplitude variation with‐offset (AVO) analysis has been used successfully to predict reservoir properties and fluid contents, in some cases allowing the spatial location of gas‐water and gas‐oil contacts. In this paper, we show that a 3-D AVO technique also can be used to characterize fractured reservoirs, allowing spatial location of crack density variations. The Cedar Hill Field in the San Juan Basin, New Mexico, produces methane from the fractured coalbeds of the Fruitland Formation. The presence of fracturing is critical to methane production because of the absence of matrix permeability in the coals. To help characterize this coalbed reservoir, a 3-D, multicomponent seismic survey was acquired in this field. In this study, prestack P‐wave amplitude data from the multicomponent data set are used to delineate zones of large Poisson's ratio contrasts (or high crack densities) in the coalbed methane reservoir, while source‐receiver azimuth sorting is used to detect preferential directions of azimuthal anisotropy caused by the fracturing system of coal. Two modeling techniques (using ray tracing and reflectivity methods) predict the effects of fractured coal‐seam zones on angle‐dependent P‐wave reflectivity. Synthetic common‐midpoint (CMP) gathers are generated for a horizontally layered earth model that uses elastic parameters derived from sonic and density log measurements. Fracture density variations in coalbeds are simulated by anisotropic modeling. The large acoustic impedance contrasts associated with the sandstone‐coal interfaces dominate the P‐wave reflectivity response. They far outweigh the effects of contrasts in anisotropic parameters for the computed models. Seismic AVO analysis of nine macrobins obtained from the 3-D volume confirms model predictions. Areas with large AVO intercepts indicate low‐velocity coals, possibly related to zones of stress relief. Areas with large AVO gradients identify coal zones of large Poisson's ratio contrasts and therefore high fracture densities in the coalbed methane reservoir. The 3-D AVO product and Poisson's variation maps combine these responses, producing a picture of the reservoir that includes its degree of fracturing and its possible stress condition. Source‐receiver azimuth sorting is used to detect preferential directions of azimuthal anisotropy caused by the fracturing system of coal.",10.1190/1.1444268
"Empirical Observations Relating Near‐Surface Magnetic Anomalies To High‐Frequency Seismic Data And Landsat Data In Eastern Sheridan County, Montana","Our empirical synergistic correlations of aeromagnetic and seismic data and a Landsat lineament interpretation revealed lineations on the magnetic map that have expression on seismic sections. We observed a conjugate set of northwest‐southeast and northeast‐southwest trending magnetic lineaments (zones which offset and truncate near‐surface magnetic anomalies). We believe these OZs (offset zones) represent lateral faults in a wrench‐fault system. Lateral offsets appear to be 100s of meters to a few kilometers (fractions of a mile to a few miles). We observed a direct correlation between OZs and vertical faults in seismic data. Faults on seismic sections extend from near the surface to near the seismic basement. The faults are most pronounced in the Upper Cretaceous reflectors and seem to disappear with depth. Fault throws are inconsistent (reversing throw across faults). OZs trend northeast‐southwest in the north half of the study area and both northeast‐southwest and northwest‐southeast in the south half. The OZ direction of northeast‐southwest in the north half of the survey is confirmed with seismic data. The northwest‐southeast seismic line contains numerous faults and the northeast‐southwest seismic line contains few faults. Most northeast‐southwest faults do not appear to reach seismic basement and are not seen in an interpretation of the magnetic basement. In two cases, northwest‐southeast OZs and correlative Landsat lineaments coincide with mapped magnetic basement faults. These magnetic basement faults can be seen in seismic data too. Faults trending northwest‐southeast may represent Precambrian faults reactivated during the Laramide Orogeny. Movement along these faults possibly generated the northeast‐southwest faults. Most oil fields have an associated near‐surface magnetic anomaly. Other near‐surface magnetic anomalies occur over obvious, untested (in 1985), seismic character or amplitude anomalies in seismic events which correlate with producing intervals in the oil fields. This synergistic correlation is the most important single observation from our study. Different data types and interpretation techniques identified the same geologic trends and prospective geographical areas. This fundamentally important information is often lost in bickering over which filter or processing technique to use or in arguments over which data type is ""more important"" than others. Further, if the synergistic correlation of data types were not done, the importance of the anomalous features in each individual data type may not have been recognized.",10.1190/1.1442966
Velocity Analysis For Tilted Transversely Isotropic Media: A Physical Modeling Example,"Transverse isotropy with a tilted symmetry axis (TTI media) has been recognized as a common feature of shale formations in overthrust areas, such as the Canadian Foothills. Since TTI layers cause serious problems in conventional imaging, it is important to be able to reconstruct the velocity model suitable for anisotropic depth migration. Here, we discuss the results of anisotropic parameter estimation on a physical‐modeling data set. The model represents a simplified version of a typical overthrust section from the Alberta Foothills, with a horizontal reflector overlaid by a bending transversely isotropic layer. Assuming that the TTI layer is homogeneous and the symmetry axis stays perpendicular to its boundaries, we invert P-wave normal‐moveout (NMO) velocities and zero‐offset traveltimes for the symmetry‐direction velocity V0 and the anisotropic parameters ε and δ. The coefficient ε is obtained using the traveltimes of a wave that crosses a dipping TTI block and reflects from the bottom of the model. The inversion for ε is based on analytic expressions for NMO velocity in media with intermediate dipping interfaces. Our estimates of both anisotropic coefficients are close to their actual values. The errors in the inversion, which are associated primarily with the uncertainties in picking the NMO velocities and traveltimes, can be reduced by a straighforward modification of the acquisition geometry. It should be emphasized that the moveout inversion also gives an accurate estimate of the thickness of the TTI layer, thus reconstructing the correct depth scale of the section. Although the physical model used here was relatively simple, our results demonstrate the principal feasibility of anisotropic velocity analysis and imaging in overthrust areas. The main problems in anisotropic processing for TTI models are likely to be caused by the lateral variation of the velocity field and overall structural complexity.",10.1190/1.1444980
Generalized Hilbert Transforms Of The Effect Of Single Magnetic Sources,"The generalized Hilbert transforms of potential fields, particularly magnetic fields, provide a useful resource for improving interpretation. Even though x- and y-Hilbert transforms of a potential field on a plane can be approximately computed from the whole observed field, they are locally independent of the observations when working on reduced areas of the plane, and therefore, on those areas, Hilbert transforms can be combined with them to better constrain and stabilize local inversions. Extended Euler deconvolution, based on Euler's homogeneity equation, makes extensive use of this principle. We investigated closed-form expressions for evaluating in the space domain the generalized x- and y-Hilbert transforms of magnetic fields generated by single point sources, given in the form of dipoles, monopoles, and Newtonian potential type sources. Apart from providing a way to calculate Hilbert transforms via equivalent sources, this approach, adding little computer effort, can be applied to solve local inverse problems as a way to improve the definition of a model previous to an inversion over a large area; the solution is modeled by point sources, and it enables matching not only the observations, but also the Hilbert transforms, thus providing stronger constraints. A synthetic example with noisy data demonstrated the resolving power of this approach in locally inverting for magnetization intensities of prismatic bodies using data windows either above or displaced from the sources. In an example from a magnetic anomaly over Sierra de San Luis, Argentina, the magnetization intensities of the basement are locally inverted for at each solution point of an extended Euler deconvolution. Results indicated a more coherent pattern when the Hilbert transforms were incorporated to the inversion, illustrating how local inversions with Hilbert transforms, which do not involve time-consuming operations, can accompany extended Euler deconvolutions to better outline characteristics of a model.",10.1190/geo2011-0188.1
An Angle-Domain Imaging Condition For Elastic Reverse Time Migration And Its Application To Angle Gather Extraction,"An angle-domain imaging condition is recommended for multicomponent elastic reverse time migration. The local slant stack method is used to separate source and receiver waves into P- and S-waves and simultaneously decompose them into local plane waves along different propagation directions. We calculated the angle-domain partial images by crosscorrelating every possible combination of the incident and scattered plane P- and S-waves and then organized them into P-P and P-S local image matrices. Local image matrix preserves all the angle information related to the seismic events. Thus, by working in the image matrix, it is convenient to perform different angle-domain operations (e.g., filtering artifacts, correcting polarity, or conducting illumination and acquisition aperture compensations). Because local image matrix is localized in space, these operations can be designed to be highly flexible, e.g., target-oriented, dip-angle-dependent or reflection-angle-dependent. After performing angle-domain operations, we can stack the partial images in the local image matrix to generate the depth image, or partially sum them up to produce different angle-domain common image gathers, which can be used for amplitude versus angle and migration velocity analysis. We tested several numerical examples to demonstrate the applications of this angle-domain image condition. ",10.1190/geo2011-0455.1
"Magneto-Gravity Response Function And Its Application To The Daito Ridge, Geophysics, 67, 110–116","To ""Magneto-gravity response function and its application to the Daito Ridge,"" Yoshio Ueda, Ryuji Kubota, and Jiro Segawa, GEOPHYSICS, 67, 110–116.",10.1190/1.1963233
Cooperative Inversion Of Geophysical Data,"Geophysical inversion by iterative modeling involves fitting observations by adjusting model parameters. Both seismic and potential‐field model responses can be influenced by the adjustment of the parameters of the rock properties. The objective of this ""cooperative inversion"" is to obtain a model which is consistent with all available surface and borehole geophysical data. Although inversion of geophysical data is generally non‐unique and ambiguous, we can lessen the ambiguities by inverting all available surface and borehole data. This paper illustrates this concept with a case history in which surface seismic data, sonic logs, surface gravity data, and borehole gravity meter (BHGM) data are adequately modeled by using least‐squares inversion and a series of forward modeling steps.",10.1190/1.1442403
Constant Q Attenuation Of Subsurface Radar Pulses,"Q is a measure of the energy stored to the energy dissipated in a propagating wave and can be estimated from the ratio of attenuation and frequency. For seismic waves, Q has been found to be essentially independent of frequency. As a result, attenuation is an approximately linear function of frequency and the impulse response function of the earth. Hence, the distortion of a seismic pulse as it propagates can be described by a single parameter. Laboratory measurements show that the attenuation of radio waves in some geological materials can also be approximated by a linear function of frequency over the bandwidths of typical subsurface radar pulses. We define a new parameter Q* to describe the slope of this linear region. The impulse response of the transfer function for a given value of Q* differs from that of the same value of Q only in total amplitude. Thus the change of shape of a radar pulse as it travels through these materials can also be described by a single parameter. The constant Q* model successfully describes the distortion of radar pulses propagated through a laboratory water tank and through weathered granite in a borehole field study.",10.1190/1.1443677
Noniterative Nonlinear Gravity Inversion,"To obtain the shape of a homogeneous body from its gravity anomalies, the inverse of Parker's formula is expressed here by means of a power series expansion in the reciprocal of the density contrast. The calculation of the nth coefficient of the series needs the evaluation of n-1 Fourier transforms of products and sums of the preceding coefficients and a sufficient storage to contain all of them. Computer time is modest for the first several terms, but grows rapidly as the number of terms increases. Fortunately, most inversions require a small number of terms. The method reproduces Oldenburg's iteration results exactly and faster whenever it converges, and it can also converge in other cases. Nevertheless, its main advantage comes from the fact that once the series coefficients have been computed, the inversion can be performed immediately for a variety of density contrasts, allowing the choice of best values to match constraints such as seismic or borehole data.",10.1190/1.1443484
Characterization Of Fluid Transport Properties Of Reservoirs Using Induced Microseismicity,"We systematically describe an approach to estimate the large‐scale permeability of reservoirs using seismic emission (microseismicity) induced by fluid injection. We call this approach seismicity‐based reservoir characterization (SBRC). A simple variant of the approach is based on the hypothesis that the triggering front of hydraulically‐induced microseismicity propagates like a diffusive process (pore pressure relaxation) in an effective homogeneous anisotropic poroelastic fluid‐saturated medium. The permeability tensor of this effective medium is the permeability tensor upscaled to the characteristic size of the seismically active heterogeneous rock volume. We show that in a homogeneous medium the surface of the seismicity triggering front has the same form as the group‐velocity surface of thelow‐frequency anisotropic, second‐type Biots wave describing kinematic aspects of triggering‐front propagation in a way similar to the eikonal equation for seismic wavefronts. In the case of isotropic heterogeneous media, the inversion for the hydraulic properties of rocks follows from a direct application of this equation. In the case of an anisotropic heterogeneous medium, only the magnitude of a global effective permeability tensor can be mapped in a 3‐D spatial domain. We demonstrate the method on several field examples and also test the eikonal equation‐based inversion.",10.1190/1.1451597
Computational Methods For Large-Scale 3D Acoustic Finite-Difference Modeling: A Tutorial,"We present a set of methods for modeling wavefields in three dimensions with the acoustic-wave equation. The primary applications of these modeling methods are the study of acquisition design, multiple suppression, and subsalt imaging for surface-streamer and ocean-bottom recording geometries. We show how to model the acoustic wave equation in three dimensions using limited computer memory, typically using a single workstation, leading to run times on the order of a few CPU hours to a CPU day. The structure of the out-of-core method presented is also used to improve the efficiency of in-core modeling, where memory-to-cache-to-memory data flow is essentially the same as the data flow for an out-of-core method. Starting from the elastic-wave equation, we develop a vector-acoustic algorithm capable of efficiently modeling multicomponent data in an acoustic medium. We show that data from this vector-acoustic algorithm can be used to test upgoing/downgoing separation of P-waves recorded by ocean-bottom seismic acquisition.",10.1190/1.2753753
Response By J. Roy To The Reply By The Authors,"On platform attitude measurement: The integration of platform attitude measurements with existing geophysical platforms was done regularly in all airborne geophysical platforms equipped with the Geonics EM‐18 VLF system where roll and pitch compensation was done with a gyroscope‐derived signal (Geonics 1982 Catalog, EM‐18 data sheet). Also, the integration of full platform attitude measurement (pitch, yaw, and roll) with a geophysical platform was done as an example by SGC. Their platform carried, among others, a three‐component magnetometer (SGC TRIX‐03 data sheet) and a RAMA‐style VLF system (Granar, 1981). Pendulum‐based systems have also been used in both fixed wing aircrafts and helicopter towed birds. Current developments in platform attitude measurements include multiple GPS antennas and receivers with measuring tolerances lower than one degree (among others, NASA, 1992).",10.1190/1.1486694
